TPIN,Transaction ID,Period From,Period To,Payment Method,Payment Amount,Payment Date,LOCATION_Location0,LOCATION_Location1,LOCATION_Location2,LOCATION_Location3,LOCATION_Location4,LOCATION_Location5,LOCATION_Location6,LOCATION_Location7,LOCATION_Location8,LOCATION_Location9,TAX_TYPE_Income Tax,TAX_TYPE_Sales Tax
TPIN020,TXID00020,2024-08-31,2024-09-30,Bank Transfer,1315.0,2024-08-31,True,False,False,False,False,False,False,False,False,False,True,False
TPIN021,TXID00021,2024-09-30,2024-10-31,Credit Card,1330.75,2024-09-30,False,True,False,False,False,False,False,False,False,False,False,True
TPIN022,TXID00022,2024-10-31,2024-11-30,Bank Transfer,1346.5,2024-10-31,False,False,True,False,False,False,False,False,False,False,True,False
TPIN023,TXID00023,2024-11-30,2024-12-31,Bank Transfer,1362.25,2024-11-30,False,False,False,True,False,False,False,False,False,False,False,True
TPIN024,TXID00024,2024-12-31,2025-01-31,Credit Card,1378.0,2024-12-31,False,False,False,False,True,False,False,False,False,False,True,False
TPIN025,TXID00025,2025-01-31,2025-02-28,Bank Transfer,1393.75,2025-01-31,False,False,False,False,False,True,False,False,False,False,False,True
TPIN026,TXID00026,2025-02-28,2025-03-31,Bank Transfer,1409.5,2025-02-28,False,False,False,False,False,False,True,False,False,False,True,False
TPIN027,TXID00027,2025-03-31,2025-04-30,Credit Card,1425.25,2025-03-31,False,False,False,False,False,False,False,True,False,False,False,True
TPIN028,TXID00028,2025-04-30,2025-05-31,Bank Transfer,1441.0,2025-04-30,False,False,False,False,False,False,False,False,True,False,True,False
TPIN029,TXID00029,2025-05-31,2025-06-30,Bank Transfer,1456.75,2025-05-31,False,False,False,False,False,False,False,False,False,True,False,True
TPIN030,TXID00030,2025-06-30,2025-07-31,Credit Card,1472.5,2025-06-30,True,False,False,False,False,False,False,False,False,False,True,False
TPIN031,TXID00031,2025-07-31,2025-08-31,Bank Transfer,1488.25,2025-07-31,False,True,False,False,False,False,False,False,False,False,False,True
TPIN032,TXID00032,2025-08-31,2025-09-30,Bank Transfer,1504.0,2025-08-31,False,False,True,False,False,False,False,False,False,False,True,False
TPIN033,TXID00033,2025-09-30,2025-10-31,Credit Card,1519.75,2025-09-30,False,False,False,True,False,False,False,False,False,False,False,True
TPIN034,TXID00034,2025-10-31,2025-11-30,Bank Transfer,1535.5,2025-10-31,False,False,False,False,True,False,False,False,False,False,True,False
TPIN035,TXID00035,2025-11-30,2025-12-31,Bank Transfer,1551.25,2025-11-30,False,False,False,False,False,True,False,False,False,False,False,True
TPIN036,TXID00036,2025-12-31,2026-01-31,Credit Card,1567.0,2025-12-31,False,False,False,False,False,False,True,False,False,False,True,False
TPIN037,TXID00037,2026-01-31,2026-02-28,Bank Transfer,1582.75,2026-01-31,False,False,False,False,False,False,False,True,False,False,False,True
TPIN038,TXID00038,2026-02-28,2026-03-31,Bank Transfer,1598.5,2026-02-28,False,False,False,False,False,False,False,False,True,False,True,False
TPIN039,TXID00039,2026-03-31,2026-04-30,Credit Card,1614.25,2026-03-31,False,False,False,False,False,False,False,False,False,True,False,True
TPIN040,TXID00040,2026-04-30,2026-05-31,Bank Transfer,1630.0,2026-04-30,True,False,False,False,False,False,False,False,False,False,True,False
TPIN041,TXID00041,2026-05-31,2026-06-30,Bank Transfer,1645.75,2026-05-31,False,True,False,False,False,False,False,False,False,False,False,True
TPIN042,TXID00042,2026-06-30,2026-07-31,Credit Card,1661.5,2026-06-30,False,False,True,False,False,False,False,False,False,False,True,False
TPIN043,TXID00043,2026-07-31,2026-08-31,Bank Transfer,1677.25,2026-07-31,False,False,False,True,False,False,False,False,False,False,False,True
TPIN044,TXID00044,2026-08-31,2026-09-30,Bank Transfer,1693.0,2026-08-31,False,False,False,False,True,False,False,False,False,False,True,False
TPIN045,TXID00045,2026-09-30,2026-10-31,Credit Card,1708.75,2026-09-30,False,False,False,False,False,True,False,False,False,False,False,True
TPIN046,TXID00046,2026-10-31,2026-11-30,Bank Transfer,1724.5,2026-10-31,False,False,False,False,False,False,True,False,False,False,True,False
TPIN047,TXID00047,2026-11-30,2026-12-31,Bank Transfer,1740.25,2026-11-30,False,False,False,False,False,False,False,True,False,False,False,True
TPIN048,TXID00048,2026-12-31,2027-01-31,Credit Card,1756.0,2026-12-31,False,False,False,False,False,False,False,False,True,False,True,False
TPIN049,TXID00049,2027-01-31,2027-02-28,Bank Transfer,1771.75,2027-01-31,False,False,False,False,False,False,False,False,False,True,False,True
TPIN050,TXID00050,2027-02-28,2027-03-31,Bank Transfer,1787.5,2027-02-28,True,False,False,False,False,False,False,False,False,False,True,False
TPIN051,TXID00051,2027-03-31,2027-04-30,Credit Card,1803.25,2027-03-31,False,True,False,False,False,False,False,False,False,False,False,True
TPIN052,TXID00052,2027-04-30,2027-05-31,Bank Transfer,1819.0,2027-04-30,False,False,True,False,False,False,False,False,False,False,True,False
TPIN053,TXID00053,2027-05-31,2027-06-30,Bank Transfer,1834.75,2027-05-31,False,False,False,True,False,False,False,False,False,False,False,True
TPIN054,TXID00054,2027-06-30,2027-07-31,Credit Card,1850.5,2027-06-30,False,False,False,False,True,False,False,False,False,False,True,False
TPIN055,TXID00055,2027-07-31,2027-08-31,Bank Transfer,1866.25,2027-07-31,False,False,False,False,False,True,False,False,False,False,False,True
TPIN056,TXID00056,2027-08-31,2027-09-30,Bank Transfer,1882.0,2027-08-31,False,False,False,False,False,False,True,False,False,False,True,False
TPIN057,TXID00057,2027-09-30,2027-10-31,Credit Card,1897.75,2027-09-30,False,False,False,False,False,False,False,True,False,False,False,True
TPIN058,TXID00058,2027-10-31,2027-11-30,Bank Transfer,1913.5,2027-10-31,False,False,False,False,False,False,False,False,True,False,True,False
TPIN059,TXID00059,2027-11-30,2027-12-31,Bank Transfer,1929.25,2027-11-30,False,False,False,False,False,False,False,False,False,True,False,True
TPIN060,TXID00060,2027-12-31,2028-01-31,Credit Card,1945.0,2027-12-31,True,False,False,False,False,False,False,False,False,False,True,False
TPIN061,TXID00061,2028-01-31,2028-02-29,Bank Transfer,1960.75,2028-01-31,False,True,False,False,False,False,False,False,False,False,False,True
TPIN062,TXID00062,2028-02-29,2028-03-31,Bank Transfer,1976.5,2028-02-29,False,False,True,False,False,False,False,False,False,False,True,False
TPIN063,TXID00063,2028-03-31,2028-04-30,Credit Card,1992.25,2028-03-31,False,False,False,True,False,False,False,False,False,False,False,True
TPIN064,TXID00064,2028-04-30,2028-05-31,Bank Transfer,2008.0,2028-04-30,False,False,False,False,True,False,False,False,False,False,True,False
TPIN065,TXID00065,2028-05-31,2028-06-30,Bank Transfer,2023.75,2028-05-31,False,False,False,False,False,True,False,False,False,False,False,True
TPIN066,TXID00066,2028-06-30,2028-07-31,Credit Card,2039.5,2028-06-30,False,False,False,False,False,False,True,False,False,False,True,False
TPIN067,TXID00067,2028-07-31,2028-08-31,Bank Transfer,2055.25,2028-07-31,False,False,False,False,False,False,False,True,False,False,False,True
TPIN068,TXID00068,2028-08-31,2028-09-30,Bank Transfer,2071.0,2028-08-31,False,False,False,False,False,False,False,False,True,False,True,False
TPIN069,TXID00069,2028-09-30,2028-10-31,Credit Card,2086.75,2028-09-30,False,False,False,False,False,False,False,False,False,True,False,True
TPIN070,TXID00070,2028-10-31,2028-11-30,Bank Transfer,2102.5,2028-10-31,True,False,False,False,False,False,False,False,False,False,True,False
TPIN071,TXID00071,2028-11-30,2028-12-31,Bank Transfer,2118.25,2028-11-30,False,True,False,False,False,False,False,False,False,False,False,True
TPIN072,TXID00072,2028-12-31,2029-01-31,Credit Card,2134.0,2028-12-31,False,False,True,False,False,False,False,False,False,False,True,False
TPIN073,TXID00073,2029-01-31,2029-02-28,Bank Transfer,2149.75,2029-01-31,False,False,False,True,False,False,False,False,False,False,False,True
TPIN074,TXID00074,2029-02-28,2029-03-31,Bank Transfer,2165.5,2029-02-28,False,False,False,False,True,False,False,False,False,False,True,False
TPIN075,TXID00075,2029-03-31,2029-04-30,Credit Card,2181.25,2029-03-31,False,False,False,False,False,True,False,False,False,False,False,True
TPIN076,TXID00076,2029-04-30,2029-05-31,Bank Transfer,2197.0,2029-04-30,False,False,False,False,False,False,True,False,False,False,True,False
TPIN077,TXID00077,2029-05-31,2029-06-30,Bank Transfer,2212.75,2029-05-31,False,False,False,False,False,False,False,True,False,False,False,True
TPIN078,TXID00078,2029-06-30,2029-07-31,Credit Card,2228.5,2029-06-30,False,False,False,False,False,False,False,False,True,False,True,False
TPIN079,TXID00079,2029-07-31,2029-08-31,Bank Transfer,2244.25,2029-07-31,False,False,False,False,False,False,False,False,False,True,False,True
TPIN080,TXID00080,2029-08-31,2029-09-30,Bank Transfer,2260.0,2029-08-31,True,False,False,False,False,False,False,False,False,False,True,False
TPIN081,TXID00081,2029-09-30,2029-10-31,Credit Card,2275.75,2029-09-30,False,True,False,False,False,False,False,False,False,False,False,True
TPIN082,TXID00082,2029-10-31,2029-11-30,Bank Transfer,2291.5,2029-10-31,False,False,True,False,False,False,False,False,False,False,True,False
TPIN083,TXID00083,2029-11-30,2029-12-31,Bank Transfer,2307.25,2029-11-30,False,False,False,True,False,False,False,False,False,False,False,True
TPIN084,TXID00084,2029-12-31,2030-01-31,Credit Card,2323.0,2029-12-31,False,False,False,False,True,False,False,False,False,False,True,False
TPIN085,TXID00085,2030-01-31,2030-02-28,Bank Transfer,2338.75,2030-01-31,False,False,False,False,False,True,False,False,False,False,False,True
TPIN086,TXID00086,2030-02-28,2030-03-31,Bank Transfer,2354.5,2030-02-28,False,False,False,False,False,False,True,False,False,False,True,False
TPIN087,TXID00087,2030-03-31,2030-04-30,Credit Card,2370.25,2030-03-31,False,False,False,False,False,False,False,True,False,False,False,True
TPIN088,TXID00088,2030-04-30,2030-05-31,Bank Transfer,2386.0,2030-04-30,False,False,False,False,False,False,False,False,True,False,True,False
TPIN089,TXID00089,2030-05-31,2030-06-30,Bank Transfer,2401.75,2030-05-31,False,False,False,False,False,False,False,False,False,True,False,True
TPIN090,TXID00090,2030-06-30,2030-07-31,Credit Card,2417.5,2030-06-30,True,False,False,False,False,False,False,False,False,False,True,False
TPIN091,TXID00091,2030-07-31,2030-08-31,Bank Transfer,2433.25,2030-07-31,False,True,False,False,False,False,False,False,False,False,False,True
TPIN092,TXID00092,2030-08-31,2030-09-30,Bank Transfer,2449.0,2030-08-31,False,False,True,False,False,False,False,False,False,False,True,False
TPIN093,TXID00093,2030-09-30,2030-10-31,Credit Card,2464.75,2030-09-30,False,False,False,True,False,False,False,False,False,False,False,True
TPIN094,TXID00094,2030-10-31,2030-11-30,Bank Transfer,2480.5,2030-10-31,False,False,False,False,True,False,False,False,False,False,True,False
TPIN095,TXID00095,2030-11-30,2030-12-31,Bank Transfer,2496.25,2030-11-30,False,False,False,False,False,True,False,False,False,False,False,True
TPIN096,TXID00096,2030-12-31,2031-01-31,Credit Card,2512.0,2030-12-31,False,False,False,False,False,False,True,False,False,False,True,False
TPIN097,TXID00097,2031-01-31,2031-02-28,Bank Transfer,2527.75,2031-01-31,False,False,False,False,False,False,False,True,False,False,False,True
TPIN098,TXID00098,2031-02-28,2031-03-31,Bank Transfer,2543.5,2031-02-28,False,False,False,False,False,False,False,False,True,False,True,False
TPIN099,TXID00099,2031-03-31,2031-04-30,Credit Card,2559.25,2031-03-31,False,False,False,False,False,False,False,False,False,True,False,True
TPIN100,TXID00100,2031-04-30,2031-05-31,Bank Transfer,2575.0,2031-04-30,True,False,False,False,False,False,False,False,False,False,True,False
