TPIN,LOCATION,TAX TYPE,Transaction ID,Period From,Period To,Payment Method,Payment Amount,Payment Date
200466,Lusaka,Employment Tax (Pay as You Earn),475519448271,01/12/2016,31/12/2016,electronic transfer,984483.38,13/01/2017
200247,mongu,Turnover Tax,475519555698,01/12/2016,31/12/2016,CASH,22.5,24/01/2017
200500,Ndola,Presumptive Tax,475519555755,01/01/2017,31/03/2017,CASH,300,24/01/2017
200354,Lusaka,Value Added Tax,475519561062,01/11/2016,30/11/2016,COMPANY LOCAL CHEQUE,1196,24/01/2017
200557,Chingola,Presumptive Tax,475519562150,01/01/2017,31/03/2017,CASH,225,24/01/2017
200557,Chingola,Presumptive Tax,475519562150,01/01/2017,31/03/2017,CASH,150,24/01/2017
200467,Lusaka,Withholding Tax,475519562595,01/04/2016,30/04/2016,COMPANY LOCAL CHEQUE,220,24/01/2017
200467,Lusaka,Withholding Tax,475519562595,01/05/2016,31/05/2016,COMPANY LOCAL CHEQUE,242,24/01/2017
200467,Lusaka,Withholding Tax,475519562595,01/06/2016,30/06/2016,COMPANY LOCAL CHEQUE,242,24/01/2017
200467,Lusaka,Withholding Tax,475519562595,01/07/2016,31/07/2016,COMPANY LOCAL CHEQUE,242,24/01/2017
200467,Lusaka,Withholding Tax,475519562595,01/08/2016,31/08/2016,COMPANY LOCAL CHEQUE,242,24/01/2017
200467,Lusaka,Withholding Tax,475519562595,01/09/2016,30/09/2016,COMPANY LOCAL CHEQUE,242,24/01/2017
200467,Lusaka,Withholding Tax,475519562595,01/10/2016,31/10/2016,COMPANY LOCAL CHEQUE,242,24/01/2017
200467,Lusaka,Withholding Tax,475519562595,01/11/2016,30/11/2016,COMPANY LOCAL CHEQUE,242,24/01/2017
200467,Lusaka,Withholding Tax,475519562595,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,242,24/01/2017
200425,Chingola,Turnover Tax,475519562642,01/01/2017,31/01/2017,CASH,170,24/01/2017
200354,Lusaka,Employment Tax (Pay as You Earn),475519562952,01/12/2016,31/12/2016,CASH,300,24/01/2017
200354,Lusaka,Turnover Tax,475519562952,01/12/2016,31/12/2016,CASH,780,24/01/2017
200648,mansa Province,Turnover Tax,475519044651,01/12/2016,31/12/2016,CASH,50,04/01/2017
200170,Lusaka,Turnover Tax,475519044848,01/12/2016,31/12/2016,CASH,18,04/01/2017
200459,Ndola,Presumptive Tax,475519047939,01/10/2015,31/12/2015,CASH,200,04/01/2017
200055,Lusaka,Turnover Tax,475519048581,01/12/2016,31/12/2016,CASH,30,04/01/2017
200504,Lusaka,Turnover Tax,475519049280,01/12/2016,31/12/2016,CASH,690.3,04/01/2017
200310,Ndola,Turnover Tax,475519049405,01/12/2016,31/12/2016,CASH,120,04/01/2017
200045,Lusaka,Value Added Tax,475519050378,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,6481.38,04/01/2017
200079,Lusaka,Turnover Tax,475519051388,01/12/2016,31/12/2016,CASH,90,04/01/2017
200766,Lusaka,Turnover Tax,475519051983,01/12/2016,31/12/2016,CASH,251.25,04/01/2017
200024,Lusaka,Turnover Tax,475519052123,01/12/2016,31/12/2016,CASH,21,04/01/2017
200428,Lusaka,Turnover Tax,475519052372,01/12/2016,31/12/2016,CASH,100,04/01/2017
200052,Lusaka,Turnover Tax,475519119374,01/12/2016,31/12/2016,CASH,960,06/01/2017
200771,Ndola,Turnover Tax,475519119591,01/12/2016,31/12/2016,CASH,30,06/01/2017
200567,Lusaka,Withholding Tax,475519119773,01/12/2016,31/12/2016,CASH,550,06/01/2017
200385,Ndola,Income Tax,475519119866,01/10/2016,31/12/2016,CASH,1000,06/01/2017
200442,Lusaka,Employment Tax (Pay as You Earn),475519247849,01/12/2016,31/12/2016,CASH,200,11/01/2017
200155,Ndola,Turnover Tax,475519249842,01/12/2016,31/12/2016,CASH,6,11/01/2017
200478,Lusaka,Employment Tax (Pay as You Earn),475519250070,01/11/2016,30/11/2016,COMPANY LOCAL CHEQUE,23405.55,11/01/2017
200533,Ndola,Employment Tax (Pay as You Earn),475519250288,01/10/2016,31/10/2016,CASH,150,11/01/2017
200384,Kitwe,Turnover Tax,475519250583,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,1746,11/01/2017
200434,Lusaka,Turnover Tax,475519251893,01/12/2016,31/12/2016,CASH,2189.35,11/01/2017
200317,Livingstone,Turnover Tax,475519363110,01/12/2016,31/12/2016,COMPANY COUNTRY CHEQUE,1169.04,13/01/2017
200025,Kitwe,Turnover Tax,475519363286,01/12/2016,31/12/2016,CASH,346,13/01/2017
200014,Lusaka,Turnover Tax,475519363307,01/12/2016,31/12/2016,CASH,81,13/01/2017
200776,kabwe,Turnover Tax,475519367744,01/12/2016,31/12/2016,CASH,45,13/01/2017
200566,kabwe,Turnover Tax,475519368200,01/12/2016,31/12/2016,CASH,10,13/01/2017
200138,Ndola,Turnover Tax,475519368774,01/12/2016,31/12/2016,CASH,900,13/01/2017
200138,Ndola,Withholding Tax,475519368774,01/01/2017,31/01/2017,CASH,200,13/01/2017
200138,Ndola,Withholding Tax,475519368774,01/02/2017,28/02/2017,CASH,200,13/01/2017
200138,Ndola,Withholding Tax,475519368774,01/03/2017,31/03/2017,CASH,200,13/01/2017
200637,mongu,Turnover Tax,475519368966,01/12/2016,31/12/2016,CASH,101,13/01/2017
200527,Ndola,Turnover Tax,475519369199,01/12/2016,31/12/2016,CASH,240,13/01/2017
200527,Ndola,Turnover Tax,475519369199,01/12/2015,31/12/2015,CASH,1500,13/01/2017
200275,Livingstone,Withholding Tax,475519370250,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,1056,13/01/2017
200319,Lusaka,Employment Tax (Pay as You Earn),475519378514,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,8388.23,13/01/2017
200364,Livingstone,Turnover Tax,475519378581,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,650,13/01/2017
200446,Lusaka,Turnover Tax,475519378623,01/12/2016,31/12/2016,CASH,22.5,13/01/2017
200261,mansa Province,Turnover Tax,475519542593,01/10/2014,31/10/2014,CASH,200,23/01/2017
200380,Lusaka,Withholding Tax,475519561922,01/09/2016,30/09/2016,CASH,4000,24/01/2017
200385,Lusaka,Turnover Tax,475519567535,01/11/2016,30/11/2016,CASH,180,25/01/2017
200385,Lusaka,Turnover Tax,475519567535,01/12/2016,31/12/2016,CASH,180,25/01/2017
200043,Lusaka,Presumptive Tax,475519579413,01/01/2016,31/03/2016,CASH,594,26/01/2017
200043,Lusaka,Presumptive Tax,475519579413,01/04/2016,30/06/2016,CASH,594,26/01/2017
200043,Lusaka,Presumptive Tax,475519579413,01/07/2017,30/09/2017,CASH,297,26/01/2017
200043,Lusaka,Presumptive Tax,475519579413,01/10/2016,31/12/2016,CASH,297,26/01/2017
200043,Lusaka,Presumptive Tax,475519579413,01/01/2017,31/03/2017,CASH,293.7,26/01/2017
200043,Lusaka,Presumptive Tax,475519579413,01/04/2017,30/06/2017,CASH,297,26/01/2017
200043,Lusaka,Presumptive Tax,475519579413,01/07/2016,30/09/2016,CASH,297,26/01/2017
200043,Lusaka,Presumptive Tax,475519579413,01/10/2017,31/12/2017,CASH,297,26/01/2017
200285,Lusaka,Presumptive Tax,475519579589,01/01/2016,31/12/2016,CASH,587.4,26/01/2017
200155,mansa Province,Turnover Tax,475519607876,01/06/2016,30/06/2016,CASH,100,27/01/2017
200597,Lusaka,Value Added Tax,475519614825,01/12/2016,31/12/2016,CASH,352,31/01/2017
200767,kabwe,Turnover Tax,475519614918,01/10/2016,31/10/2016,CASH,500,31/01/2017
200386,Lusaka,Employment Tax (Pay as You Earn),475519646291,01/01/2017,31/01/2017,CASH,485,02/02/2017
200320,Lusaka,Withholding Tax,475519646519,01/01/2017,31/01/2017,CASH,300,02/02/2017
200654,Lusaka,Turnover Tax,475519647057,01/01/2017,31/01/2017,CASH,657.5,02/02/2017
200767,Lusaka,Turnover Tax,475519647114,01/01/2017,31/01/2017,CASH,20.4,02/02/2017
200536,Ndola,Turnover Tax,475519647663,01/12/2016,31/12/2016,CASH,600,02/02/2017
200383,Lusaka,Income Tax,475519647984,01/01/2017,31/03/2017,CASH,1000,02/02/2017
200401,Ndola,Turnover Tax,475519650698,01/01/2017,31/01/2017,CASH,306,02/02/2017
200167,mansa Province,Turnover Tax,475519655430,01/01/2017,31/01/2017,CASH,15,02/02/2017
200627,mansa Province,Turnover Tax,475519655901,01/12/2016,31/12/2016,CASH,36,04/01/2017
200379,Lusaka,Turnover Tax,475519656528,01/01/2017,31/01/2017,CASH,644,02/02/2017
200053,Lusaka,Property Transfer Tax,475519656476,01/01/2017,31/01/2017,CASH,3330,02/02/2017
200635,Mongu Province,Presumptive Tax,475519656828,01/01/2017,31/03/2017,CASH,142.4,02/02/2017
200791,mansa Province,Turnover Tax,475519657139,01/01/2017,31/01/2017,CASH,45,02/02/2017
200278,mongu,Presumptive Tax,475519658040,01/01/2017,31/03/2017,CASH,300,02/02/2017
200677,Lusaka,Presumptive Tax,475519660277,01/01/2017,31/03/2017,CASH,293.7,02/02/2017
200677,Lusaka,Presumptive Tax,475519660277,01/10/2017,31/12/2017,CASH,297,02/02/2017
200262,Kasama,Turnover Tax,475519660883,01/01/2017,31/01/2017,CASH,249,02/02/2017
200485,Lusaka,Turnover Tax,475519660893,01/01/2017,31/01/2017,CASH,200,02/02/2017
200712,Lusaka,Turnover Tax,475519661069,01/01/2017,31/01/2017,CASH,70,02/02/2017
200546,Kasama,Turnover Tax,475519662441,01/01/2017,31/01/2017,CASH,6,02/02/2017
200363,Lusaka,Turnover Tax,475519663280,01/10/2016,31/10/2016,CASH,233.35,02/02/2017
200363,Lusaka,Withholding Tax,475519663425,01/02/2217,28/02/2017,CASH,600,02/02/2017
200230,Kasama,Turnover Tax,475519663907,01/01/2017,31/01/2017,CASH,301.2,02/02/2017
200753,Lusaka,Turnover Tax,475519679124,01/01/2017,31/01/2017,CASH,105,03/02/2017
200662,Lusaka,Turnover Tax,475519680326,01/01/2017,31/01/2017,CASH,354,03/02/2017
200355,Lusaka,Turnover Tax,475519681061,01/01/2017,31/01/2017,CASH,808.8,03/02/2017
200466,Lusaka,Employment Tax (Pay as You Earn),475519681827,01/02/2017,28/02/2017,electronic transfer,155472.82,02/02/2017
200101,Lusaka,Turnover Tax,475519681874,01/01/2017,31/01/2017,CASH,2343,03/02/2017
200084,Ndola,Withholding Tax,475519681941,01/01/2017,31/01/2017,CASH,350,03/02/2017
200084,Ndola,Withholding Tax,475519681941,01/01/2017,31/01/2017,CASH,250,03/02/2017
200487,Lusaka,Turnover Tax,475519683168,01/01/2017,31/01/2017,CASH,60,03/02/2017
200430,Mongu Province,Turnover Tax,475519684509,01/01/2017,31/01/2017,CASH,1389,03/02/2017
200079,Mongu Province,Turnover Tax,475519684665,01/01/2017,31/01/2017,COMPANY LOCAL CHEQUE,650,03/02/2017
200584,Muchinga,Turnover Tax,475519688528,01/11/2015,30/11/2015,CASH,1500,04/02/2017
200742,Muchinga,Turnover Tax,475519688538,01/01/2017,31/01/2017,CASH,511,04/02/2017
200052,Ndola,Turnover Tax,475519118696,01/09/2016,30/09/2016,CASH,3,06/01/2017
200373,Lusaka,Employment Tax (Pay as You Earn),475519120016,01/12/2016,31/12/2016,CASH,400,06/01/2017
200315,Ndola,Withholding Tax,475519120073,01/11/2016,30/11/2016,CASH,400,06/01/2017
200410,Lusaka,Value Added Tax,475519133007,01/12/2016,31/12/2016,CASH,599.23,09/01/2017
200689,Lusaka,Income Tax,475519133085,01/10/2016,31/12/2016,CASH,1400,09/01/2017
200487,Chingola,Turnover Tax,475519242282,01/12/2016,31/12/2016,CASH,99.95,11/01/2017
200097,Lusaka,Turnover Tax,475519242335,01/12/2016,31/12/2016,CASH,388,11/01/2017
200506,Kitwe,Turnover Tax,475519242717,01/12/2016,31/12/2016,CASH,30,11/01/2017
200077,Lusaka,Turnover Tax,475519243355,01/12/2016,31/12/2016,CASH,2500,11/01/2017
200412,Muchinga,Turnover Tax,475519243365,01/12/2016,31/12/2016,CASH,700,11/01/2017
200159,Kitwe,Turnover Tax,475519243644,01/12/2016,31/12/2016,CASH,400,11/01/2017
200045,Lusaka,Turnover Tax,475519245591,01/12/2016,31/12/2016,CASH,1401,11/01/2017
200137,Livingstone,Turnover Tax,475519247295,01/12/2016,31/12/2016,CASH,350,11/01/2017
200223,chipata,Turnover Tax,475519263864,01/12/2016,31/12/2016,CASH,300,12/01/2017
200510,chipata,Turnover Tax,475519264346,01/12/2016,31/12/2016,CASH,30,12/01/2017
200587,kabwe,Withholding Tax,475519264952,01/12/2016,31/12/2016,CASH,80,12/01/2017
200520,Mongu Province,Turnover Tax,475519325399,01/12/2016,31/12/2016,CASH,50,13/01/2017
200715,Lusaka,Turnover Tax,475519335687,01/12/2016,31/12/2016,CASH,71,13/01/2017
200629,Ndola,Turnover Tax,475519335755,01/12/2016,31/12/2016,CASH,328.35,13/01/2017
200323,Lusaka,Turnover Tax,475519336329,01/12/2016,31/12/2016,CASH,0.04,13/01/2017
200097,Mongu Province,Turnover Tax,475519336464,01/12/2016,31/12/2016,CASH,150,13/01/2017
200429,Lusaka,Turnover Tax,475519336521,01/12/2016,31/12/2016,CASH,100,13/01/2017
200485,Lusaka,Withholding Tax,475519339902,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,1650,13/01/2017
200560,Livingstone,Employment Tax (Pay as You Earn),475519340829,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,756.25,13/01/2017
200633,Lusaka,Turnover Tax,475519341150,01/12/2016,31/12/2016,CASH,305.1,13/01/2017
200614,Mongu Province,Turnover Tax,475519346157,01/12/2016,31/12/2016,CASH,641,13/01/2017
200232,Lusaka,Turnover Tax,475519346514,01/12/2016,31/12/2016,CASH,15,13/01/2017
200317,Lusaka,Value Added Tax,475519346856,01/12/2016,31/12/2016,CASH,34.95,13/01/2017
200379,Lusaka,Value Added Tax,475519347452,01/01/2016,31/01/2016,COMPANY LOCAL CHEQUE,22500,13/01/2017
200172,Lusaka,Turnover Tax,475519347545,01/12/2016,31/12/2016,CASH,21,13/01/2017
200321,Lusaka,Turnover Tax,475519350284,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,1200,13/01/2017
200183,chipata,Turnover Tax,475519350797,01/12/2016,31/12/2016,CASH,282,13/01/2017
200735,chipata,Turnover Tax,475519368096,01/12/2016,31/12/2016,CASH,20,13/01/2017
200561,kabwe,Turnover Tax,475519368588,01/12/2016,31/12/2016,CASH,547.65,13/01/2017
200031,kabwe,Turnover Tax,475519373082,01/12/2016,31/12/2016,CASH,410,13/01/2017
200367,Livingstone,Turnover Tax,475519373517,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,3091.88,13/01/2017
200097,kabwe,Turnover Tax,475519373777,01/12/2016,31/12/2016,CASH,2103,13/01/2017
200097,kabwe,Withholding Tax,475519373777,01/12/2016,31/12/2016,CASH,400,13/01/2017
200350,Lusaka,Employment Tax (Pay as You Earn),475519374687,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,25191.93,13/01/2017
200076,chipata,Presumptive Tax,475519379747,01/04/2017,30/06/2017,CASH,1500,13/01/2017
200067,chipata,Turnover Tax,475519380047,01/12/2016,31/12/2016,CASH,66.3,13/01/2017
200334,Ndola,Value Added Tax,475519598525,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,9000,27/01/2017
200515,Lusaka,Turnover Tax,475519617957,01/08/2016,31/08/2016,CASH,600,31/01/2017
200213,Lusaka,Withholding Tax,475519618289,01/03/2016,31/03/2016,CASH,1000,31/01/2017
200213,Lusaka,Withholding Tax,475519618289,01/04/2016,30/04/2016,CASH,1000,31/01/2017
200213,Lusaka,Withholding Tax,475519618289,01/05/2016,31/05/2016,CASH,1000,31/01/2017
200213,Lusaka,Withholding Tax,475519618289,01/06/2016,30/06/2016,CASH,1000,31/01/2017
200213,Lusaka,Withholding Tax,475519618289,01/07/2016,31/07/2016,CASH,1000,31/01/2017
200213,Lusaka,Withholding Tax,475519618356,01/08/2016,31/08/2016,CASH,1000,31/01/2017
200632,Ndola,Employment Tax (Pay as You Earn),475519618470,01/11/2016,30/11/2016,COMPANY LOCAL CHEQUE,8119.58,31/01/2017
200733,Lusaka,Presumptive Tax,475519618698,01/10/2016,31/12/2016,CASH,297,31/01/2017
200733,Lusaka,Presumptive Tax,475519618698,01/01/2017,31/03/2017,CASH,293.7,31/01/2017
200730,Lusaka,Presumptive Tax,475519619262,01/01/2017,31/03/2017,CASH,293.7,31/01/2017
200052,Lusaka,Presumptive Tax,475519621323,01/10/2016,31/12/2016,CASH,297,31/01/2017
200052,Lusaka,Presumptive Tax,475519621323,01/04/2017,30/06/2017,CASH,297,31/01/2017
200316,Lusaka,Employment Tax (Pay as You Earn),475519625000,01/07/2016,31/07/2016,COMPANY LOCAL CHEQUE,5301.25,31/01/2017
200316,Lusaka,Employment Tax (Pay as You Earn),475519625000,01/08/2016,31/08/2016,COMPANY LOCAL CHEQUE,5301.25,31/01/2017
200316,Lusaka,Employment Tax (Pay as You Earn),475519625000,01/09/2016,30/09/2016,COMPANY LOCAL CHEQUE,5301.25,31/01/2017
200316,Lusaka,Employment Tax (Pay as You Earn),475519625000,01/10/2016,31/10/2016,COMPANY LOCAL CHEQUE,5301.25,31/01/2017
200316,Lusaka,Employment Tax (Pay as You Earn),475519625000,01/11/2016,30/11/2016,COMPANY LOCAL CHEQUE,5301.25,31/01/2017
200316,Lusaka,Employment Tax (Pay as You Earn),475519625000,01/12/2016,31/12/2016,COMPANY LOCAL CHEQUE,5301.25,31/01/2017
200137,Lusaka,Turnover Tax,475519629033,01/01/2017,31/01/2017,CASH,677,01/02/2017
200544,Kasama,Turnover Tax,475519630866,01/01/2017,31/01/2017,CASH,115,01/02/2017
200550,Kitwe,Presumptive Tax,475519631223,01/10/2016,31/12/2016,CASH,300,01/02/2017
200581,chipata,Employment Tax (Pay as You Earn),475519635086,01/01/2017,31/01/2017,COMPANY LOCAL CHEQUE,6671.01,01/02/2017
200538,Lusaka,Turnover Tax,475519635677,01/01/2017,31/01/2017,CASH,334.5,01/02/2017
